period,Capex,Cash BOP,Cash EOP,Change Work Cap,DSRA BOP,DSRA Change,DSRA EOP,Distributions,EBITDA,Eff Tax Rate,Est Tax Dist,Excess Cash,Int Exp,LIBOR,Other Cash Use,Revolver Change,Swap Avg Daily Balance,Swap Fix Rate,TLB Addl Borrow,TLB Amort,TLB BOP,TLB Change,TLB EOP,TLB Float Rate,TLB Int Exp,TLB Prepay,TLC Addl Borrow,TLC Amort,TLC BOP,TLC EOP,TLC Float Rate,TLC Int Exp,TLC Prepay,Tax Depreciation,Taxable Interest
2017-01-31,643740.1700000002,56900000.0,52374622.49,-423462.0599999977,56511809.38,0.0,56511809.38,0.0,1041824.72,0.0,0.0,0.0,0.0,0.0,-4500000.0,0.0,0.0,0.0,0.0,0.0,1575000000.0,0.0,1575000000.0,0.045,0.0,0.0,0.0,0.0,150000000.0,150000000.0,0.0,0.0,0.0,0.0,0.0
2017-02-28,1809778.73,52374622.49,45800260.43,-29924189.059999995,56511809.38,56491830.660000004,19978.72,56511809.38,26195330.7,0.0,0.0,0.0,1015746.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575000000.0,0.0,1575000000.0,0.045,1015746.25,0.0,0.0,0.0,150000000.0,150000000.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,5238221.8,45800260.43,40856298.28000001,-44623288.75999999,19978.72,-683865.67,703844.39,0.0,37520935.58,0.0,0.0,0.0,17067021.5,0.0,-20790000.0,0.0,0.0,0.0,50000000.0,4062500.0,1575000000.0,45937500.0,1620937500.0,0.045,17067021.5,0.0,0.0,0.0,150000000.0,100000000.0,0.0,0.0,50000000.0,0.0,0.0
2017-04-30,1265589.81,40856298.28000001,99974103.00999984,50696775.54999983,703844.39,-378.04000000003725,704222.43,0.0,20699416.990000002,0.0,0.0,0.0,11012419.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620937500.0,0.0,1620937500.0,0.045,11012419.96,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,3087414.1399999997,99974103.00999984,83984657.59000008,-4025583.5999997593,704222.43,-447.3199999999488,704669.75,26812246.28,27699979.4,0.0,0.0,0.0,9763733.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620937500.0,0.0,1620937500.0,0.045,9763733.48,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,5981816.989999999,83984657.59000008,58144379.4800002,-14874458.949999878,704669.75,-483.0100000000093,705152.76,24533812.42,32861547.83,0.0,0.0,0.0,9248754.57,0.0,0.0,0.0,0.0,0.0,0.0,4062500.0,1620937500.0,-4062500.0,1616875000.0,0.045,9248754.57,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0
2017-07-31,5951363.9,58144379.4800002,77060098.11000076,6136451.720000563,705152.76,-571.1700000000419,705723.93,0.0,39137628.51,0.0,0.0,0.0,8406426.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616875000.0,-12000000.0,1604875000.0,0.045,8406426.53,12000000.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0
2017-08-31,1856223.08,77060098.11000076,104581028.41000019,-824576.4793205671,705723.93,-575.7999999999302,706299.73,0.0,30202305.659319997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604875000.0,0.0,1604875000.0,0.045,0.0,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,5763360.5713505,0.0,0.0,17862331.639319792,0.0,706299.73,0.0,21270829.595758427,26116826.286849998,0.0,0.0,0.0,8184782.283026797,0.012354698713332578,0.0,0.0,1174166666.6666667,0.057725,0.0,0.0,1604875000.0,0.0,1604875000.0,0.057354698713332576,7706826.460415692,0.0,0.0,0.0,100000000.0,100000000.0,0.057354698713332576,477955.82261110476,0.0,0.0,0.0
2017-10-31,10106441.547751,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,16926230.229546,0.0,0.0,0.0,8462757.780538306,0.012478598114587854,0.0,0.0,1150000000.0,0.057725,0.0,0.0,1604875000.0,0.0,1604875000.0,0.05747859811458785,7967803.185662688,0.0,0.0,0.0,100000000.0,100000000.0,0.05747859811458785,494954.5948756176,0.0,0.0,0.0
2017-11-30,4362029.0654505,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,29200837.362250004,0.0,0.0,0.0,8203745.958941062,0.012780944369980205,0.0,0.0,1150000000.0,0.057725,0.0,0.0,1604875000.0,0.0,1604875000.0,0.0577809443699802,7722238.089191227,0.0,0.0,0.0,100000000.0,100000000.0,0.0577809443699802,481507.869749835,0.0,0.0,0.0
2017-12-31,12698058.0734645,0.0,0.0,0.0,0.0,-0.0,0.0,21270829.595758427,37131145.496309996,0.0,0.0,0.0,8514108.40670435,0.013120500918842454,0.0,0.0,1148387096.7741935,0.05793356741573034,0.0,0.0,1604875000.0,0.0,1604875000.0,0.05812050091884245,8013626.315458762,0.0,0.0,0.0,100000000.0,100000000.0,0.05812050091884245,500482.09124558774,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8824059.047081983,0.013322601892761292,0.0,0.0,1125000000.0,0.061024999999999996,0.0,0.0,1604875000.0,0.0,1604875000.0,0.05832260189276129,8321836.641894315,0.0,0.0,0.0,100000000.0,100000000.0,0.05832260189276129,502222.40518766665,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,7975868.190694445,0.0134501,0.0,0.0,1125000000.0,0.061024999999999996,0.0,0.0,1604875000.0,0.0,1604875000.0,0.0584501,7521256.301805556,0.0,0.0,0.0,100000000.0,100000000.0,0.0584501,454611.8888888889,0.0,0.0,0.0
2018-03-31,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8833730.184840208,0.013523240105262513,0.0,0.0,1123387096.7741935,0.061024999999999996,0.0,187500.0,1604875000.0,-187500.0,1604687500.0,0.05852324010526251,8329780.061711559,0.0,0.0,0.0,100000000.0,100000000.0,0.05852324010526251,503950.12312864943,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8544480.598958334,0.013553,0.0,0.0,1100000000.0,0.061024999999999996,0.0,0.0,1604687500.0,0.0,1604687500.0,0.058553,8056538.932291667,0.0,0.0,0.0,100000000.0,100000000.0,0.058553,487941.6666666667,0.0,0.0,0.0
2018-05-31,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8832722.608782008,0.013618795454144756,0.0,0.0,1100000000.0,0.061024999999999996,0.0,0.0,1604687500.0,0.0,1604687500.0,0.05861879545414475,8327949.647926873,0.0,0.0,0.0,100000000.0,100000000.0,0.05861879545414475,504772.96085513534,0.0,0.0,0.0
2018-06-30,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8554458.915339267,0.013754148812503636,0.0,0.0,1099166666.6666667,0.061024999999999996,0.0,4062500.0,1604687500.0,-4062500.0,1600625000.0,0.05875414881250363,8064841.008568403,0.0,0.0,0.0,100000000.0,100000000.0,0.05875414881250363,489617.90677086357,0.0,0.0,0.0
